,userId,numCores,kernel,class,cpu,country,architecture,distribution
5,229635,8,3.2.0,desktop,Intel Xeon E5410  2.33GHz,Netherlands,x86_64,Debian
6,229635,4,3.16.0,desktop,AMD Athlon II X4 6400e,Netherlands,x86_64,Debian
7,543984,6,4.2.0,desktop,AMD FX-6100 Six-Core,United Kingdom,x86_64,Ubuntu
8,447125,4,3.19.0,desktop,AMD A8-7670K,Italy,x86_64,Ubuntu
10,527838,4,3.18.7,desktop,ARMv7-compatible processor rev 5,France,arm,Debian
12,545524,8,3.13.0,desktop,Intel Core i7-4770 Processor 3.90 GHz,Turkey,x86_64,Ubuntu
13,527838,1,3.18.7,desktop,ARMv6-compatible processor rev 7 ,France,arm,Debian
15,586682,4,3.10.17,desktop,Intel Pentium M 900MHz,United States,i686,Slackware
17,586682,2,3.10.17,desktop,Intel Core2 Duo E7200  2.53GHz,United States,i686,Slackware
19,587097,2,3.2.18,desktop,Intel Core2 Duo T5870  2.00GHz,China,x86_64,Linux Mint
20,587284,8,3.13.0,desktop,AMD FX-8350 Eight-Core,Canada,x86_64,Kubuntu
21,587284,4,3.13.0,desktop,AMD A8-3850 APU,Canada,x86_64,Linux Mint
22,587364,3,3.13.0,desktop,AMD Athlon II X3 455,Chile,x86_64,Ubuntu
24,171332,4,4.4.4,desktop,AMD Athlon 64 X2 Dual Core 4400+,Canada,x86_64,Slackware
26,171332,2,4.4.4,desktop,AMD FX-6300 Six-Core,Canada,x86_64,Slackware
27,166300,3,3.13.0,desktop,AMD Phenom 8650 Triple-Core,Denmark,x86_64,Ubuntu
29,250250,1,4.1.0,desktop,"Intel Pentium II Celeron processor (Mendocino, Socket 370) ",Israel,i686,Slackware
31,250250,0,3.10.80,desktop,ARM Cortex A8 1GHz,Israel,arm,Ubuntu
32,527321,4,3.13.0,desktop,AMD Athlon II X4 6400e,Poland,x86_64,Linux Mint
35,534879,4,3.16.0,desktop,AMD FX-4100 Zambezi Quad-Core 3.6GHz ,Germany,x86_64,Debian
37,460656,4,3.19.0,desktop,AMD Phenom II X4 955,Finland,x86_64,Ubuntu
38,450286,4,3.13.0,desktop,Intel Core i5-4200U  1.60GHz,Sweden,x86_64,Ubuntu
40,470660,4,3.19.0,desktop,Intel Core i5-3470  3.20GHz,Ireland,x86_64,Ubuntu
45,221396,2,3.16.0,desktop,Intel Core2 Duo E4600  2.40GHz,Italy,x86_64,Ubuntu
47,589709,4,4.2.0,desktop,AMD Phenom II X4 840,Poland,x86_64,Ubuntu
48,376922,2,3.19.0,desktop,AMD E-450 APU,Switzerland,x86_64,Ubuntu
50,476695,3,3.13.0,desktop,AMD Athlon II X3 440,Finland,x86_64,Ubuntu
51,523598,4,3.16.0,desktop,Intel Core i5-2500K  3.30GHz,United Kingdom,x86_64,Debian
56,470199,8,3.13.0,desktop,Intel Core i7-3770K 3.50GHz,Denmark,x86_64,Ubuntu
57,465279,2,3.16.0,desktop,Intel Pentium 4 3.00GHz,Italy,x86_64,Ubuntu
58,400492,3,3.13.0,desktop,AMD Athlon II X3 455,Finland,x86_64,Ubuntu
59,502496,2,3.16.0,desktop,AMD Athlon 64 X2 3800+,Canada,amd64,Linux Mint
63,193988,4,4.4.4,desktop,Intel Core i5-2500K  3.30GHz,Germany,x86_64,openSUSE
64,456230,8,4.3.0,desktop,Intel Core i7-4790K  4.00GHz,United States,x86_64,Debian
68,543984,1,4.1.16,desktop,ARMv6-compatible processor rev 7 ,United Kingdom,arm,OpenELEC
69,543984,4,4.1.18,desktop,ARMv7-compatible processor rev 5,United Kingdom,arm,OpenELEC
75,425085,4,2.6.38,desktop,Mobile Intel Pentium 4 2.30GHz,Italy,x86_64,Kubuntu
81,545408,8,4.1.3,desktop,Intel Core i7-2600K  3.40GHz,Russian Federation,x86_64,Debian
83,571926,4,3.13.0,desktop,Intel Core i3-550 Processor 3.20 GHz,France,x86_64,Ubuntu
84,584405,2,3.13.0,desktop,Intel Core2 Duo E6400  2.13GHz,Slovenia,i686,Linux Mint
87,548111,2,4.2.0,desktop,AMD Athlon 64 X2 Dual Core 5000+,Canada,i686,Xubuntu
88,586985,4,3.16.7,desktop,Intel Core i5-4460  3.20GHz,Germany,x86_64,openSUSE
90,587078,4,3.13.0,desktop,Intel Core i3-530  2.93GHz,Brazil,x86_64,Ubuntu
95,424841,1,3.16.0,desktop,AMD Athlon 64 3200+,Canada,x86_64,Debian
97,587303,1,3.13.0,desktop,Intel Pentium 4 2.80GHz,France,i686,Ubuntu
99,587424,2,3.10.17,desktop,AMD Athlon 64 X2 5200+,Poland,x86_64,Slackware
102,587614,4,4.4.0,desktop,Intel Core i5-4670  3.40GHz,Germany,x86_64,Manjaro Linux
103,587641,8,3.16.7,desktop,Intel Core i7-3770K 3.50GHz,Germany,amd64,Debian
111,151905,8,4.3.3,desktop,Intel Core i7-4770  3.40GHz,Netherlands,x86_64,Fedora
112,133954,8,3.17.0,desktop,Intel Xeon E3-1230 V2  3.30GHz,Germany,x86_64,Kanotix
113,50401,1,2.6.27,desktop,AMD Sempron 3000+,Canada,i686,Knoppix
114,60452,4,3.16,desktop,Intel Core i5-3570K  3.40GHz,Finland,amd64,Debian
115,151905,8,4.2.5,desktop,Intel Core i7-4770  3.40GHz,Netherlands,x86_64,Fedora
117,326419,4,3.13.0,desktop,AMD Phenom II X4 850,Germany,x86_64,Ubuntu
118,326419,4,3.2.0,desktop,Intel Core i3-530  2.93GHz,Germany,x86_64,Debian
119,293162,4,3.0.101,desktop,AMD Phenom 9850 Quad-Core,Ukraine,x86_64,ALT Linux
120,463954,8,3.19.0,desktop,Intel Core i7-860  2.80GHz,France,x86_64,Ubuntu
123,563539,2,3.13.0,desktop,Intel Pentium 4 3.20GHz,United States,i686,Ubuntu
124,292320,1,3.2.0,desktop,Intel Pentium 4 2.80GHz,Germany,i686,Ubuntu
125,460385,4,3.11.10,desktop,Intel Core i5-4670  3.40GHz,Spain,x86_64,openSUSE
133,517111,2,3.16.7,desktop,AMD Athlon 64 X2 Dual-Core TK-42,Italy,amd64,Ubuntu
135,589374,3,3.19.0,desktop,AMD Athlon II X3 445,Spain,x86_64,Ubuntu
136,374329,2,4.1.6,desktop,AMD Opteron 2350 HE,Poland,x86_64,Fedora
140,364386,4,3.16.0,desktop,Intel Core i5-3470  3.20GHz,Bangladesh,i686,Ubuntu
142,436537,4,3.16.0,desktop,AMD FX-4100 Zambezi Quad-Core 3.6GHz ,Brazil,x86_64,Ubuntu
146,590547,4,3.16.0,desktop,Intel Core i5-2500K  3.30GHz,Netherlands,x86_64,Linux Mint
147,159678,2,3.16.7,desktop,AMD Athlon 64 X2 3000+,Germany,amd64,Debian
155,590940,6,4.2.0,desktop,AMD FX-6300 Six-Core,Germany,x86_64,Ubuntu
157,401352,2,3.0.92,desktop,AMD Athlon 64 3000+,Venezuela,amd64,Debian
160,591933,4,4.1.12,desktop,Intel Core i3-4150  3.50GHz,Colombia,x86_64,openSUSE
162,592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,BunsenLabs
164,592655,1,4.3.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Ubuntu
165,592655,1,4.3.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Ubuntu
166,592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Linux Mint
167,592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Linux Mint
168,592655,1,3.13.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Ubuntu
169,592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Bodhi
170,592655,1,3.13.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Zorin OS
171,592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,elementary OS
172,592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Debian
173,592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Linux Mint
174,592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,SolydXK
175,592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,SolydXK
176,592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Fedora
177,592655,1,4.3.0,desktop,Intel Celeron 600MHz,Japan,x86_64,openSUSE
178,592655,1,4.1.12,desktop,Intel Celeron 600MHz,Japan,x86_64,openSUSE
179,592655,1,4.1.13,desktop,Intel Celeron 600MHz,Japan,x86_64,Mageia
180,592655,1,4.1.13,desktop,Intel Celeron 600MHz,Japan,x86_64,Vine Linux
181,592655,1,3.14.20,desktop,Intel Celeron 600MHz,Japan,i686,Puppy Linux
182,592655,1,3.2.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Debian
183,592655,1,3.4.108,desktop,Intel Celeron 2.80GHz,Japan,i686,Vine Linux
184,592655,1,3.19.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Xubuntu
185,592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Linux Mint
186,592655,1,3.13.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Ubuntu
187,592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Bodhi
188,592655,1,3.13.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Zorin OS
189,592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Debian
190,592655,1,4.1.12,desktop,Intel Celeron 2.80GHz,Japan,i686,Vine Linux
191,592655,1,3.14.20,desktop,Intel Celeron 2.80GHz,Japan,i686,Puppy Linux
195,592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Debian
196,592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Debian
197,402602,4,4.3.0,desktop,AMD Phenom 9950 Quad-Core,Argentina,x86_64,Debian
200,592655,1,3.4.110,desktop,Intel Celeron 600MHz,Japan,x86_64,Vine Linux
202,592655,1,3.19.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Ubuntu
204,416358,8,3.19.0,desktop,Intel Core i7-920  2.67GHz,Spain,x86_64,Ubuntu
207,592655,1,4.0.5,desktop,Intel Celeron 2.80GHz,Japan,i686,Debian
208,592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,BunsenLabs
209,219810,4,3.16.0,desktop,AMD Athlon 64 4000+,France,x86_64,Debian
212,595878,2,3.10.17,desktop,Intel Core2 Duo E6550  2.33GHz,United Kingdom,x86_64,Slackware
214,593732,1,3.13.0,desktop,AMD Sempron 2600+,Spain,i686,Guadalinex
215,470495,8,4.4.0,desktop,AMD FX-8150 Eight-Core,Germany,x86_64,openSUSE
216,592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,CentOS
217,592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Scientific Linux
218,427104,4,4.4.1,desktop,AMD Phenom 9600 Quad-Core,Canada,x86_64,Antergos
220,3759,1,2.6.32,embedded,MIPS 24Kc V7.4,United States,mips,OpenWrt
223,68277,4,4.1.17,embedded,ARMv7-compatible processor rev 5,United States,arm,Raspbian GNU/Linux
225,71028,1,2.6.32,embedded,MIPS 24Kc V7.4,Poland,mips,OpenWrt
226,241373,1,2.6.32,embedded,AMD Geode LX800,Germany,i486,Debian
227,68277,1,4.1.17,embedded,ARMv6-compatible processor rev 7 ,United States,arm,Raspbian GNU/Linux
228,52541,1,3.2.0,embedded,AMD Geode LX 500 MHz,United States,i586,Debian
230,279656,1,2.4.35,embedded,Broadcom BCM4712,Australia,mips,OpenWrt
231,241373,1,3.2.0,embedded,Intel Atom Z530  1.60GHz,Germany,i686,Debian
233,307373,1,3.3.8,embedded,Broadcom BCM4704,Czech Republic,mips,OpenWrt
234,248465,4,3.16.0,embedded,Intel Atom 330  1.60GHz,Austria,x86_64,Debian
236,322908,4,2.6.38,embedded,Intel Atom 330  1.60GHz,France,i386,Kubuntu
238,147120,1,2.6.32,embedded,Marvell XScale-IXP42x rev 1,United Kingdom,arm,Debian
240,303334,1,2.6.32,embedded,AMD Geode LX 500 MHz,Germany,i586,Ubuntu
243,164946,1,3.2.0,embedded,Intel Atom D525  1.80GHz,Spain,i386,Debian
245,387475,1,3.10.17,embedded,Marvell Kirkwood 88F6281 1.2 GHz,France,arm,Slackware
246,356153,1,3.9.9,embedded,AMD Geode LX 500 MHz,Austria,i586,Gentoo Linux
